Day,TempMax
2001-08-04,37.05715332
2001-08-05,36.44075928
2001-08-06,39.08028564
2001-08-07,41.08239136
2001-08-08,41.94844971
2001-08-09,39.11922607
2001-08-10,39.24291382
2001-08-11,40.23330078
2001-08-12,41.2854248
2001-08-13,39.4600769
2001-08-14,38.00078735
2001-08-15,36.41356812
2001-08-16,40.4500061
2001-08-17,42.703302
2001-08-18,44.33150635
2001-08-19,44.78103027
2001-08-20,47.05974731
2001-08-21,48.45354614
2001-08-22,49.36513672
2001-08-23,48.27297363
2001-08-24,44.50597534
2001-08-25,42.77837524
2001-08-26,43.95842896
2001-08-27,43.30614624
2001-08-28,43.27764282
2001-08-29,44.91646729
2001-08-30,43.68105469
2001-08-31,46.02318726
2001-09-01,42.13372192
2001-09-02,36.92983398
2001-09-03,38.35979614
2001-09-04,37.92217407
2001-09-05,36.40627441
2001-09-06,36.13009033
2001-09-07,35.33236084
2001-09-08,36.40133057
2001-09-09,35.46663818
2001-09-10,33.87514648
2001-09-11,33.85808716
2001-09-12,34.35024414
2001-09-13,34.28212891
2001-09-14,31.73626099
2001-09-15,31.54827271
2001-09-16,31.57512817
2001-09-17,31.67861328
2001-09-18,32.78518066
2001-09-19,32.94902954
2001-09-20,32.49944458
2001-09-21,32.93346558
2001-09-22,35.57351074
2001-09-23,35.69262085
2001-09-24,33.32955322
2001-09-25,34.96062622
2001-09-26,37.2265564
2001-09-27,35.74782715
2001-09-28,33.50002441
2001-09-29,33.3350769
2001-09-30,34.11187134
2001-10-01,35.41103516
2001-10-02,35.78817139
2001-10-03,37.42650757
2001-10-04,40.79750977
2001-10-05,30.91454468
2001-10-06,26.25371704
2001-10-07,25.04113159
2001-10-08,25.65410767
2001-10-09,25.48516235
2001-10-10,27.76723633
2001-10-11,27.16143188
2001-10-12,26.9996582
2001-10-13,27.77974854
2001-10-14,30.60738525
2001-10-15,33.01848755
2001-10-16,32.19439087
2001-10-17,29.6703125
2001-10-18,24.21633301
2001-10-19,24.26125488
2001-10-20,25.24746094
2001-10-21,27.49151001
2001-10-22,27.5050293
2001-10-23,25.88869629
2001-10-24,26.28032837
2001-10-25,29.24373779
2001-10-26,31.2350708
2001-10-27,30.81618652
2001-10-28,29.41988525
2001-10-29,33.70366821
2001-10-30,37.9460083
2001-10-31,30.96349487
2001-11-01,27.80581055
2001-11-02,26.60769043
2001-11-03,24.01699219
2001-11-04,24.82668457
2001-11-05,23.13305054
2001-11-06,21.33547363
2001-11-07,21.47496948
2001-11-08,23.02437744
2001-11-09,24.66085205
2001-11-10,24.85436401
2001-11-11,25.20897827
2001-11-12,22.67562256
2001-11-13,21.46984253
2001-11-14,23.35369263
2001-11-15,21.26885376
2001-11-16,24.49981079
2001-11-17,27.7446228
2001-11-18,27.21196899
2001-11-19,23.77669678
2001-11-20,22.94246826
2001-11-21,23.29009399
2001-11-22,23.5697876
2001-11-23,21.89528809
2001-11-24,19.93062744
2001-11-25,21.46529541
2001-11-26,20.4578186
2001-11-27,20.24407349
2001-11-28,22.64837036
2001-11-29,25.93914185
2001-11-30,25.21340332
2001-12-01,24.56847534
2001-12-02,24.99437866
2001-12-03,23.3482605
2001-12-04,24.79665527
2001-12-05,23.23748169
2001-12-06,21.93883667
2001-12-07,22.49666748
2001-12-08,22.50280151
2001-12-09,22.68535767
2001-12-10,23.00499878
2001-12-11,22.92391357
2001-12-12,21.25057373
2001-12-13,18.77922974
2001-12-14,19.39458618
2001-12-15,21.12593994
2001-12-16,20.27300415
2001-12-17,20.60088501
2001-12-18,22.66472778
2001-12-19,23.53078613
2001-12-20,23.24230347
2001-12-21,18.85744629
2001-12-22,19.01629028
2001-12-23,19.52623901
2001-12-24,20.01873169
2001-12-25,19.2340332
2001-12-26,20.21929321
2001-12-27,25.06676636
2001-12-28,27.25145874
2001-12-29,24.62740479
2001-12-30,20.86080322
2001-12-31,21.11376343
2002-01-01,20.13515625
2002-01-02,19.14055786
2002-01-03,18.03933105
2002-01-04,19.50460205
2002-01-05,16.41341553
2002-01-06,18.12774048
2002-01-07,19.11269531
2002-01-08,18.83684692
2002-01-09,19.2862793
2002-01-10,18.63359985
2002-01-11,18.38833008
2002-01-12,18.05465088
2002-01-13,19.47765503
2002-01-14,21.86654053
2002-01-15,23.96715698
2002-01-16,22.62359009
2002-01-17,17.72445068
2002-01-18,14.77272949
2002-01-19,16.03106079
2002-01-20,19.48012695
2002-01-21,20.18712769
2002-01-22,18.78289185
2002-01-23,19.51064453
2002-01-24,18.1836792
2002-01-25,19.69274292
2002-01-26,22.63585815
2002-01-27,23.98323975
2002-01-28,23.53716431
2002-01-29,24.03139648
2002-01-30,24.95403442
2002-01-31,24.79326782
2002-02-01,25.86055908
2002-02-02,26.65239868
2002-02-03,27.58757935
2002-02-04,22.19805298
2002-02-05,21.362146
2002-02-06,21.33648071
2002-02-07,21.49700317
2002-02-08,24.16567383
2002-02-09,27.85009155
2002-02-10,24.84298096
2002-02-11,20.90639648
2002-02-12,20.38564453
2002-02-13,20.38820801
2002-02-14,20.07998047
2002-02-15,21.42855225
2002-02-16,21.42199097
2002-02-17,21.10900269
2002-02-18,23.23668823
